cfg,seed,track,true,hard,soft,n_tied,hard_ok,soft_ok
512/512,456,metal.00029.wav,6,9,6,2,False,True
512/512,456,pop.00011.wav,7,1,1,2,False,False
512/512,789,hiphop.00061.wav,4,8,8,2,False,False
512/512,789,pop.00011.wav,7,1,1,2,False,False
512/512,789,reggae.00080.wav,8,8,8,2,True,True
512/512,789,reggae.00087.wav,8,8,7,2,True,False
512/512,789,rock.00099.wav,9,9,2,2,True,False
512/512,789,rock.00044.wav,9,2,2,2,False,False
512/512,789,rock.00056.wav,9,9,9,2,True,True
512/512,1024,hiphop.00051.wav,4,4,4,2,True,True
512/512,1024,jazz.00029.wav,5,0,5,2,False,True
512/512,1024,pop.00059.wav,7,7,7,2,True,True
512/512,1024,rock.00086.wav,9,9,9,5,True,True
512/512,1024,rock.00056.wav,9,9,9,2,True,True
1024/128,42,country.00043.wav,2,9,2,2,False,True
1024/128,42,country.00090.wav,2,9,2,2,False,True
1024/128,42,metal.00029.wav,6,3,6,2,False,True
1024/128,42,pop.00011.wav,7,1,1,2,False,False
1024/128,123,blues.00007.wav,0,2,0,2,False,True
1024/128,123,blues.00099.wav,0,5,5,2,False,False
1024/128,123,disco.00013.wav,3,3,3,2,True,True
1024/128,123,jazz.00057.wav,5,5,1,2,True,False
1024/128,456,blues.00056.wav,0,0,0,2,True,True
1024/128,456,blues.00054.wav,0,9,0,2,False,True
1024/128,456,metal.00029.wav,6,3,6,2,False,True
1024/128,456,rock.00086.wav,9,9,9,2,True,True
1024/128,789,blues.00072.wav,0,0,0,2,True,True
1024/128,789,country.00090.wav,2,9,2,2,False,True
1024/128,1024,jazz.00049.wav,5,2,5,2,False,True
1024/128,1024,metal.00029.wav,6,3,6,2,False,True
1024/128,1024,reggae.00055.wav,8,4,7,2,False,False
1024/256,42,blues.00035.wav,0,0,0,2,True,True
1024/256,42,metal.00029.wav,6,3,6,2,False,True
1024/256,42,reggae.00080.wav,8,8,8,2,True,True
1024/256,42,rock.00013.wav,9,8,2,2,False,False
1024/256,123,classical.00054.wav,1,1,1,2,True,True
1024/256,123,country.00077.wav,2,2,2,2,True,True
1024/256,123,disco.00069.wav,3,7,3,2,False,True
1024/256,123,jazz.00057.wav,5,1,5,2,False,True
1024/256,123,rock.00086.wav,9,9,9,2,True,True
1024/256,456,blues.00072.wav,0,0,0,2,True,True
1024/256,456,hiphop.00060.wav,4,4,4,2,True,True
1024/256,456,jazz.00057.wav,5,1,5,2,False,True
1024/256,456,pop.00011.wav,7,1,1,2,False,False
1024/256,456,rock.00075.wav,9,0,3,2,False,False
1024/256,456,rock.00008.wav,9,6,9,2,False,True
1024/256,789,country.00075.wav,2,0,9,2,False,False
1024/256,789,jazz.00057.wav,5,1,5,2,False,True
1024/256,1024,hiphop.00061.wav,4,8,4,2,False,True
1024/256,1024,jazz.00049.wav,5,9,5,2,False,True
1024/512,123,blues.00056.wav,0,0,0,2,True,True
1024/512,123,country.00013.wav,2,9,9,2,False,False
1024/512,123,country.00096.wav,2,2,2,2,True,True
1024/512,123,metal.00029.wav,6,3,6,2,False,True
1024/512,123,reggae.00021.wav,8,0,9,2,False,False
1024/512,123,rock.00039.wav,9,2,9,2,False,True
1024/512,123,rock.00086.wav,9,9,9,3,True,True
1024/512,456,disco.00085.wav,3,4,4,2,False,False
1024/512,456,jazz.00057.wav,5,1,5,2,False,True
1024/512,456,reggae.00060.wav,8,2,2,2,False,False
1024/512,789,country.00043.wav,2,2,2,2,True,True
1024/512,789,pop.00011.wav,7,1,7,2,False,True
1024/512,789,reggae.00060.wav,8,2,2,2,False,False
1024/512,789,rock.00039.wav,9,2,9,2,False,True
1024/512,789,rock.00013.wav,9,4,4,2,False,False
1024/512,1024,hiphop.00061.wav,4,8,8,2,False,False
1024/512,1024,reggae.00080.wav,8,8,4,2,True,False
2048/128,42,classical.00054.wav,1,1,1,2,True,True
2048/128,42,jazz.00049.wav,5,9,5,2,False,True
2048/128,42,reggae.00080.wav,8,8,4,2,True,False
2048/128,42,rock.00075.wav,9,9,0,2,True,False
2048/128,123,blues.00072.wav,0,0,2,2,True,False
2048/128,123,pop.00011.wav,7,1,1,2,False,False
2048/128,123,rock.00038.wav,9,7,9,3,False,True
2048/128,123,rock.00075.wav,9,9,9,3,True,True
2048/128,456,pop.00011.wav,7,1,1,2,False,False
2048/128,456,rock.00044.wav,9,2,2,2,False,False
2048/128,789,country.00077.wav,2,2,2,2,True,True
2048/128,789,country.00043.wav,2,2,9,2,True,False
2048/128,789,reggae.00060.wav,8,2,9,2,False,False
2048/128,789,rock.00038.wav,9,9,9,2,True,True
2048/128,789,rock.00033.wav,9,2,2,2,False,False
2048/128,1024,rock.00038.wav,9,8,9,2,False,True
2048/128,1024,rock.00013.wav,9,4,2,2,False,False
2048/256,123,blues.00007.wav,0,9,0,2,False,True
2048/256,123,disco.00013.wav,3,7,3,2,False,True
2048/256,123,metal.00029.wav,6,3,6,2,False,True
2048/256,123,reggae.00021.wav,8,0,0,2,False,False
2048/256,123,rock.00013.wav,9,4,2,2,False,False
2048/256,456,metal.00029.wav,6,0,6,2,False,True
2048/256,456,rock.00075.wav,9,0,9,2,False,True
2048/256,789,country.00077.wav,2,2,2,2,True,True
2048/256,789,pop.00011.wav,7,1,1,2,False,False
2048/256,1024,blues.00007.wav,0,0,0,2,True,True
2048/256,1024,jazz.00049.wav,5,2,5,2,False,True
2048/256,1024,jazz.00057.wav,5,1,5,2,False,True
2048/256,1024,metal.00029.wav,6,3,6,2,False,True
2048/256,1024,pop.00011.wav,7,1,1,2,False,False
2048/256,1024,rock.00013.wav,9,8,8,2,False,False
2048/512,42,rock.00038.wav,9,3,3,2,False,False
2048/512,123,blues.00007.wav,0,0,0,2,True,True
2048/512,123,jazz.00049.wav,5,9,2,2,False,False
2048/512,123,pop.00040.wav,7,7,1,2,True,False
2048/512,123,reggae.00060.wav,8,2,9,2,False,False
2048/512,456,country.00096.wav,2,9,2,2,False,True
2048/512,456,jazz.00049.wav,5,5,2,2,True,False
2048/512,789,blues.00056.wav,0,0,2,2,True,False
2048/512,789,country.00096.wav,2,9,2,2,False,True
2048/512,789,jazz.00049.wav,5,5,5,2,True,True
2048/512,789,rock.00044.wav,9,2,2,2,False,False
2048/512,789,rock.00056.wav,9,9,9,2,True,True
2048/512,1024,blues.00003.wav,0,5,0,2,False,True
2048/512,1024,country.00096.wav,2,9,9,2,False,False
2048/512,1024,reggae.00080.wav,8,8,8,2,True,True
2048/512,1024,rock.00038.wav,9,3,3,2,False,False
2048/512,1024,rock.00099.wav,9,2,1,2,False,False
